,dataset,data,n_mics,target,thr_smpl,mean_f,mean_p,mean_r,mean_e
89,011110,real,6.0,0.0,5.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,2.63278477186572
90,011110,synt,2.0,1.0,1.0,0.696969696969697,0.8125,0.6428571428571428,0.3342863622657936
91,011110,synt,2.0,1.0,3.0,0.696969696969697,0.8125,0.6428571428571428,0.3342863622657936
92,011110,synt,2.0,1.0,5.0,0.696969696969697,0.8125,0.6428571428571428,0.8967949024253461
93,011110,real,2.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07853251921642478
94,011110,real,2.0,1.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.34312401436900813
95,011110,real,2.0,1.0,5.0,0.3571428571428571,0.3571428571428571,0.3571428571428571,2.002511071438535
96,011110,synt,4.0,1.0,1.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2452583089349031
97,011110,synt,4.0,1.0,3.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2452583089349031
98,011110,synt,4.0,1.0,5.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2452583089349031
99,011110,real,4.0,1.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.19518242386387877
100,011110,real,4.0,1.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8331659609576679
101,011110,real,4.0,1.0,5.0,0.21428571428571425,0.21428571428571425,0.21428571428571425,2.495699877021286
102,011110,synt,6.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2763212576988277
103,011110,synt,6.0,1.0,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2763212576988277
104,011110,synt,6.0,1.0,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2763212576988277
105,011110,real,6.0,1.0,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2713440964922924
106,011110,real,6.0,1.0,3.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,0.8328021764973135
