,filename,src_id,src_ch,src_signal,room_rfl_floor,room_rfl_ceiling,room_rfl_west,room_rfl_south,room_rfl_east,room_rfl_north,room_fornitures,room_temperature,rec_silence_dB,rec_artifacts,mic_type,array_bar_x,array_bar_y,array_bar_z,array_bar_theta,array_bar_aiming_at_corner,mic_id,mic_ch,mic_pos_x,mic_pos_y,mic_pos_z,mic_signal,src_pos_x,src_pos_y,src_pos_z
47,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,-1.043,57.7,['xy'],16.0,49.0,3.36391593117534,3.36391593117534,3.36391593117534,babble,0.96,4.769,-0.9159999999999999
48,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,-1.043,57.7,['xy'],17.0,50.0,3.39063354864483,3.39063354864483,3.39063354864483,babble,0.96,4.769,-0.9159999999999999
49,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,-1.043,57.7,['xy'],18.0,51.0,3.42536645135517,3.42536645135517,3.42536645135517,babble,0.96,4.769,-0.9159999999999999
50,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,-1.043,57.7,['xy'],19.0,52.0,3.4788016862941498,3.4788016862941498,3.4788016862941498,babble,0.96,4.769,-0.9159999999999999
51,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.8760000000000003,-1.443,226.4,['xy'],20.0,53.0,3.77147839410762,3.77147839410762,3.77147839410762,babble,0.96,4.769,-0.9159999999999999
52,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.8760000000000003,-1.443,226.4,['xy'],21.0,54.0,3.74389361235819,3.74389361235819,3.74389361235819,babble,0.96,4.769,-0.9159999999999999
53,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.8760000000000003,-1.443,226.4,['xy'],22.0,55.0,3.7094126351714105,3.7094126351714105,3.7094126351714105,babble,0.96,4.769,-0.9159999999999999
54,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.8760000000000003,-1.443,226.4,['xy'],23.0,56.0,3.6645873648285896,3.6645873648285896,3.6645873648285896,babble,0.96,4.769,-0.9159999999999999
55,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.8760000000000003,-1.443,226.4,['xy'],24.0,57.0,3.5956254104550203,3.5956254104550203,3.5956254104550203,babble,0.96,4.769,-0.9159999999999999
56,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,-0.893,143.7,['xy'],25.0,58.0,3.12972621457544,3.12972621457544,3.12972621457544,babble,0.96,4.769,-0.9159999999999999
